quarter,forecast_sales
Q1,113
Q2,125
Q3,122
Q4,140
Q5,156
Q6,142
Q7,171
Q8,171
Q9,176
Q10,172
Q11,195
Q12,201
Q13,194
Q14,214
Q15,203
Q16,230
Q17,245
Q18,230
Q19,238
Q20,242
