quarter,forecast_sales
Q1,101
Q2,114
Q3,101
Q4,114
Q5,129
Q6,133
Q7,131
Q8,139
Q9,137
Q10,151
Q11,158
Q12,160
Q13,167
Q14,156
Q15,174
Q16,176
Q17,173
Q18,193
Q19,193
Q20,194
