quarter,forecast_sales
Q1,150
Q2,127
Q3,162
Q4,184
Q5,206
Q6,193
Q7,174
Q8,221
Q9,244
Q10,226
Q11,212
Q12,236
Q13,253
Q14,257
Q15,310
Q16,302
Q17,313
Q18,320
Q19,330
Q20,356
