quarter,forecast_sales
Q1,108
Q2,130
Q3,131
Q4,155
Q5,156
Q6,179
Q7,167
Q8,184
Q9,219
Q10,228
Q11,228
Q12,221
Q13,237
Q14,244
Q15,234
Q16,264
Q17,263
Q18,296
Q19,298
Q20,308
