quarter,forecast_sales
Q1,129
Q2,132
Q3,152
Q4,155
Q5,141
Q6,156
Q7,202
Q8,203
Q9,190
Q10,190
Q11,242
Q12,227
Q13,256
Q14,241
Q15,278
Q16,262
Q17,275
Q18,284
Q19,272
Q20,292
