quarter,forecast_sales
Q1,168
Q2,159
Q3,169
Q4,172
Q5,188
Q6,201
Q7,199
Q8,197
Q9,230
Q10,253
Q11,223
Q12,250
Q13,250
Q14,285
Q15,272
Q16,317
Q17,285
Q18,295
Q19,321
Q20,338
