quarter,forecast_sales
Q1,30
Q2,29
Q3,44
Q4,64
Q5,68
Q6,87
Q7,90
Q8,102
Q9,110
Q10,110
Q11,104
Q12,108
Q13,98
Q14,110
Q15,105
Q16,86
Q17,71
Q18,63
Q19,56
Q20,36
