quarter,forecast_sales
Q1,105
Q2,141
Q3,147
Q4,129
Q5,159
Q6,165
Q7,154
Q8,156
Q9,166
Q10,177
Q11,181
Q12,208
Q13,211
Q14,197
Q15,217
Q16,223
Q17,243
Q18,238
Q19,241
Q20,260
