quarter,forecast_sales
Q1,30
Q2,31
Q3,46
Q4,56
Q5,75
Q6,85
Q7,95
Q8,108
Q9,105
Q10,111
Q11,107
Q12,115
Q13,107
Q14,96
Q15,98
Q16,87
Q17,85
Q18,66
Q19,53
Q20,36
