quarter,forecast_sales
Q1,117
Q2,140
Q3,147
Q4,153
Q5,184
Q6,172
Q7,200
Q8,196
Q9,227
Q10,226
Q11,237
Q12,213
Q13,231
Q14,269
Q15,231
Q16,269
Q17,267
Q18,301
Q19,277
Q20,290
