quarter,forecast_sales
Q1,118
Q2,113
Q3,133
Q4,139
Q5,152
Q6,157
Q7,158
Q8,155
Q9,178
Q10,176
Q11,185
Q12,182
Q13,201
Q14,226
Q15,217
Q16,214
Q17,229
Q18,245
Q19,231
Q20,266
