quarter,forecast_sales
Q1,112
Q2,151
Q3,153
Q4,197
Q5,163
Q6,219
Q7,195
Q8,232
Q9,222
Q10,250
Q11,231
Q12,239
Q13,231
Q14,254
Q15,262
Q16,297
Q17,285
Q18,333
Q19,302
Q20,337
